annotation_id,video_id,split,category,label,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,wrist,product_track_id,related_track_ids,returned
ANN_000048,21_2,validation,product_interaction,pickup,3769,3813,125.633,127.100,1.500,right,R6_Product_2of3,,
ANN_000049,21_2,validation,product_interaction,product_held,3814,3922,127.133,130.733,3.633,right,R6_Product_2of3,,true
ANN_000050,21_2,validation,product_interaction,return,3906,3922,130.200,130.733,0.567,right,R6_Product_2of3,,true
ANN_000051,21_3,validation,product_interaction,pickup,272,285,9.067,9.500,0.467,right,L3_Product_4of4,,
ANN_000052,21_3,validation,product_interaction,pickup,286,450,9.533,15.000,5.500,right,L3_Product_4of4,,true
ANN_000053,21_3,validation,product_interaction,return,429,450,14.300,15.000,0.733,right,L3_Product_4of4,,true
ANN_000054,21_3,validation,product_interaction,pickup,510,545,17.000,18.167,1.200,right,L3_Product_1of4,,
ANN_000055,21_3,validation,product_interaction,product_held,546,584,18.200,19.467,1.300,right,L3_Product_1of4,,true
ANN_000056,21_3,validation,product_interaction,return,574,584,19.133,19.467,0.367,right,L3_Product_1of4,,true
ANN_000057,21_3,validation,product_interaction,pickup,712,720,23.733,24.000,0.300,right,L4_Product_3of4,,
ANN_000058,21_3,validation,product_interaction,product_held,721,1320,24.033,44.000,20.000,right,L4_Product_3of4,,true
ANN_000059,21_3,validation,product_interaction,return,1299,1320,43.300,44.000,0.733,right,L4_Product_3of4,,true
ANN_000060,21_3,validation,product_interaction,pickup,1053,1057,35.100,35.233,0.167,right,L3_Product_2of4,,
ANN_000061,21_3,validation,product_interaction,product_held,1058,2095,35.267,69.833,34.600,right,L3_Product_2of4,,false
ANN_000062,21_3,validation,product_interaction,comparison,1085,1278,36.167,42.600,6.467,both,L3_Product_2of4,L3_Product_3of4,
ANN_000063,21_3,validation,product_interaction,pickup,1532,1538,51.067,51.267,0.233,right,L7_Product_1of4,,
ANN_000064,21_3,validation,product_interaction,product_held,1539,2095,51.300,69.833,18.567,right,L7_Product_1of4,,false
ANN_000065,21_3,validation,product_interaction,pickup,1897,1903,63.233,63.433,0.233,right,R4_Product_1of4,,
ANN_000066,21_3,validation,product_interaction,product_held,1904,2056,63.467,68.533,5.100,right,R4_Product_1of4,,false
ANN_000067,21_3,validation,product_interaction,pickup,2601,2610,86.700,87.000,0.333,right,R4_Product_4of4,,
ANN_000068,21_3,validation,product_interaction,product_held,2611,3002,87.033,100.067,13.067,right,R4_Product_4of4,,true
ANN_000069,21_3,validation,product_interaction,return,2984,3002,99.467,100.067,0.633,right,R4_Product_4of4,,true
ANN_000070,21_3,validation,product_interaction,pickup,3101,3123,103.367,104.100,0.767,right,R5_Product_2of4,,
ANN_000071,21_3,validation,product_interaction,product_held,3124,4274,104.133,142.467,38.367,right,R5_Product_2of4,,false
ANN_000072,21_3,validation,product_interaction,pickup,3737,3748,124.567,124.933,0.400,right,R4_Product_1of4,,
ANN_000074,21_3,validation,product_interaction,product_held,3749,4274,124.967,142.467,17.533,right,R4_Product_1of4,,false
ANN_000075,22_1,validation,product_interaction,pickup,335,345,11.167,11.500,0.367,left,L6_Product_1of4,,
ANN_000076,22_1,validation,product_interaction,product_held,346,2109,11.533,70.300,58.800,left,L6_Product_1of4,,false
ANN_000077,22_1,validation,product_interaction,pickup,608,632,20.267,21.067,0.833,right,R5_Product_1of4,,
ANN_000078,22_1,validation,product_interaction,product_held,633,2109,21.100,70.300,49.233,right,R5_Product_1of4,,false
ANN_000079,22_1,validation,product_interaction,pickup,1095,1111,36.500,37.033,0.567,right,R4_Product_2of4,,
ANN_000080,22_1,validation,product_interaction,product_held,1112,2109,37.067,70.300,33.267,right,R4_Product_2of4,,false
ANN_000081,22_1,validation,product_interaction,pickup,1869,1907,62.300,63.567,1.300,right,R4_Product_4of4,,
ANN_000082,22_1,validation,product_interaction,product_held,1908,2109,63.600,70.300,6.733,right,R4_Product_4of4,,false
ANN_000083,22_1,validation,product_interaction,pickup,2558,2566,85.267,85.533,0.300,left,L4_Product_4of4,,
ANN_000084,22_1,validation,product_interaction,product_held,2567,4219,85.567,140.633,55.100,left,L4_Product_4of4,,false
ANN_000085,22_1,validation,product_interaction,pickup,2722,2752,90.733,91.733,1.033,right,L4_Product_3of4,,
ANN_000086,22_1,validation,product_interaction,product_held,2753,2859,91.767,95.300,3.567,right,L4_Product_3of4,,true
ANN_000087,22_1,validation,product_interaction,return,2842,2859,94.733,95.300,0.600,right,L4_Product_3of4,,true
ANN_000088,22_1,validation,product_interaction,comparison,2758,2833,91.933,94.433,2.533,both,L4_Product_3of4,L4_Product_4of4,true
ANN_000089,22_1,validation,product_interaction,pickup,3191,3244,106.367,108.133,1.800,right,R1_Product_2of4,,
ANN_000090,22_1,validation,product_interaction,product_held,3245,4219,108.167,140.633,32.500,right,R1_Product_2of4,,false
ANN_000091,22_1,validation,product_interaction,pickup,3857,3904,128.567,130.133,1.600,right,R5_Product_4of4,,
ANN_000092,22_1,validation,product_interaction,product_held,3905,4219,130.167,140.633,10.500,right,R5_Product_4of4,,false
ANN_000093,22_2,validation,product_interaction,pickup,299,306,9.967,10.200,0.267,right,R3_Product_1of4,,
ANN_000094,22_2,validation,product_interaction,product_held,307,2168,10.233,72.267,62.067,right,R3_Product_1of4,,false
ANN_000095,22_2,validation,product_interaction,pickup,628,653,20.933,21.767,0.867,right,R5_Product_1of4,,
ANN_000096,22_2,validation,product_interaction,product_held,654,2168,21.800,72.267,50.500,right,R5_Product_1of4,,false
ANN_000097,22_2,validation,product_interaction,pickup,1207,1248,40.233,41.600,1.400,right,L6_Product_1of4,,
ANN_000098,22_2,validation,product_interaction,product_held,1249,2168,41.633,72.267,30.667,right,L6_Product_1of4,,false
ANN_000099,22_2,validation,product_interaction,pickup,1683,1706,56.100,56.867,0.800,right,R4_Product_4of4,,
ANN_000100,22_2,validation,product_interaction,product_held,1707,2168,56.900,72.267,15.400,right,R4_Product_4of4,,false
ANN_000101,22_2,validation,product_interaction,pickup,2512,2546,83.733,84.867,1.167,left,L5_Product_3of4,,
ANN_000102,22_2,validation,product_interaction,product_held,2547,4198,84.900,139.933,55.067,left,L5_Product_3of4,,false
ANN_000103,22_2,validation,product_interaction,pickup,2744,2787,91.467,92.900,1.467,left,L2_Product_2of2,,
ANN_000104,22_2,validation,product_interaction,product_held,2788,4198,92.933,139.933,47.033,left,L2_Product_2of2,,false
ANN_000105,22_2,validation,product_interaction,pickup,3269,3299,108.967,109.967,1.033,right,R1_Product_3of4,,
ANN_000106,22_2,validation,product_interaction,product_held,3300,4198,110.000,139.933,29.967,right,R1_Product_3of4,,false
ANN_000107,22_2,validation,product_interaction,pickup,3608,3636,120.267,121.200,0.967,right,R6_Product_1of3,,
ANN_000108,22_2,validation,product_interaction,pickup,3637,4198,121.233,139.933,18.733,right,R6_Product_1of3,,false
ANN_000109,22_2,validation,product_interaction,pickup,3990,4004,133.000,133.467,0.500,right,L4_Product_4of4,,
ANN_000110,22_2,validation,product_interaction,product_held,4005,4198,133.500,139.933,6.467,right,L4_Product_4of4,,false
ANN_000111,22_3,validation,product_interaction,pickup,259,279,8.633,9.300,0.700,right,R3_Product_4of4,,
ANN_000112,22_3,validation,product_interaction,product_held,280,2069,9.333,68.967,59.667,right,R3_Product_4of4,,false
ANN_000113,22_3,validation,product_interaction,pickup,521,548,17.367,18.267,0.933,right,L7_Product_1of4,,
ANN_000114,22_3,validation,product_interaction,product_held,549,2069,18.300,68.967,50.700,right,L7_Product_1of4,,false
ANN_000115,22_3,validation,product_interaction,pickup,894,952,29.800,31.733,1.967,right,L3_Product_4of4,,
ANN_000116,22_3,validation,product_interaction,return,914,952,30.467,31.733,1.300,right,L3_Product_4of4,,true
ANN_000117,22_3,validation,product_interaction,pickup,1033,1054,34.433,35.133,0.733,right,L3_Product_3of4,,
ANN_000118,22_3,validation,product_interaction,product_held,1055,2069,35.167,68.967,33.833,right,L3_Product_3of4,,false
ANN_000119,22_3,validation,product_interaction,pickup,1289,1321,42.967,44.033,1.100,right,L2_Product_1of2,,
ANN_000120,22_3,validation,product_interaction,product_held,1322,2069,44.067,68.967,24.933,right,L2_Product_1of2,,false
ANN_000121,22_3,validation,product_interaction,pickup,1630,1649,54.333,54.967,0.667,right,L7_Product_3of4,,
ANN_000122,22_3,validation,product_interaction,product_held,1650,1782,55.000,59.400,4.433,right,L7_Product_3of4,,true
ANN_000123,22_3,validation,product_interaction,return,1770,1782,59.000,59.400,0.433,right,L7_Product_3of4,,true
ANN_000124,22_3,validation,product_interaction,pickup,1793,1811,59.767,60.367,0.633,right,L7_Product_2of4,,
ANN_000125,22_3,validation,product_interaction,product_held,1812,2069,60.400,68.967,8.600,right,L7_Product_2of4,,false
ANN_000126,22_3,validation,product_interaction,pickup,2409,2436,80.300,81.200,0.933,right,L5_Product_4of4,,
ANN_000127,22_3,validation,product_interaction,product_held,2437,4069,81.233,135.633,54.433,right,L5_Product_4of4,,false
ANN_000128,22_3,validation,product_interaction,pickup,2570,2623,85.667,87.433,1.800,right,L5_Product_1of4,,
ANN_000129,22_3,validation,product_interaction,product_held,2624,4069,87.467,135.633,48.200,right,L5_Product_1of4,,false
ANN_000130,22_3,validation,product_interaction,pickup,3009,3038,100.300,101.267,1.000,right,R4_Product_3of4,,
ANN_000131,22_3,validation,product_interaction,product_held,3039,4069,101.300,135.633,34.367,right,R4_Product_3of4,,false
ANN_000132,22_3,validation,product_interaction,pickup,3279,3343,109.300,111.433,2.167,right,R6_Product_2of3,,
ANN_000133,22_3,validation,product_interaction,product_held,3344,4069,111.467,135.633,24.200,right,R6_Product_2of3,,false
ANN_000134,22_3,validation,product_interaction,pickup,3634,3683,121.133,122.767,1.667,right,R4_Product_2of4,,
ANN_000135,22_3,validation,product_interaction,product_held,3684,4069,122.800,135.633,12.867,right,R4_Product_2of4,,false
ANN_000136,22_3,validation,product_interaction,pickup,3926,3944,130.867,131.467,0.633,right,L6_Product_2of3,,
ANN_000137,22_3,validation,product_interaction,product_held,3945,4069,131.500,135.633,4.167,right,L6_Product_2of3,,false
ANN_000138,23_1,validation,product_interaction,pickup,394,411,13.133,13.700,0.600,right,R3_Product_2of4,,
ANN_000139,23_1,validation,product_interaction,product_held,412,792,13.733,26.400,12.700,right,R3_Product_2of4,,true
ANN_000140,23_1,validation,product_interaction,return,769,792,25.633,26.400,0.800,right,R3_Product_2of4,,true
ANN_000141,23_1,validation,product_interaction,pickup,797,851,26.567,28.367,1.833,right,R3_Product_4of4,,
ANN_000142,23_1,validation,product_interaction,product_held,852,1112,28.400,37.067,8.700,right,R3_Product_4of4,,true
ANN_000143,23_1,validation,product_interaction,return,1099,1112,36.633,37.067,0.467,right,R3_Product_4of4,,true
ANN_000144,23_1,validation,product_interaction,pickup,1154,1169,38.467,38.967,0.533,right,R3_Product_4of4,,
ANN_000145,23_1,validation,product_interaction,product_held,1170,1337,39.000,44.567,5.600,right,R3_Product_4of4,,true
ANN_000146,23_1,validation,product_interaction,return,1319,1337,43.967,44.567,0.633,right,R3_Product_4of4,,true
ANN_000147,23_1,validation,product_interaction,pickup,2180,2196,72.667,73.200,0.567,right,L3_Product_3of4,,
ANN_000148,23_1,validation,product_interaction,product_held,2197,2235,73.233,74.500,1.300,right,L3_Product_3of4,,true
ANN_000149,23_1,validation,product_interaction,return,2222,2235,74.067,74.500,0.467,right,L3_Product_3of4,,true
ANN_000150,23_1,validation,product_interaction,pickup,2252,2270,75.067,75.667,0.633,right,L4_Product_3of4,,
ANN_000151,23_1,validation,product_interaction,product_held,2271,2356,75.700,78.533,2.867,right,L4_Product_3of4,,true
ANN_000152,23_1,validation,product_interaction,return,2336,2356,77.867,78.533,0.700,right,L4_Product_3of4,,true
ANN_000153,23_1,validation,product_interaction,pickup,2453,2469,81.767,82.300,0.567,right,L4_Product_4of4,,
ANN_000154,23_1,validation,product_interaction,product_held,2470,2654,82.333,88.467,6.167,right,L4_Product_4of4,,true
ANN_000155,23_1,validation,product_interaction,return,2648,2654,88.267,88.467,0.233,right,L4_Product_4of4,,true
ANN_000156,23_1,validation,product_interaction,pickup,3080,3095,102.667,103.167,0.533,right,L7_Product_2of4,,
ANN_000157,23_1,validation,product_interaction,product_held,3096,3329,103.200,110.967,7.800,right,L7_Product_2of4,,true
ANN_000158,23_1,validation,product_interaction,return,3316,3329,110.533,110.967,0.467,right,L7_Product_2of4,,true
ANN_000159,23_1,validation,product_interaction,pickup,3546,3568,118.200,118.933,0.767,right,R3_Product_4of4,,
ANN_000160,23_1,validation,product_interaction,product_held,3569,4035,118.967,134.500,15.567,right,R3_Product_4of4,,false
ANN_000161,23_1,validation,product_interaction,pickup,3796,3825,126.533,127.500,1.000,right,L4_Product_4of4,,
ANN_000162,23_1,validation,product_interaction,product_held,3826,4035,127.533,134.500,7.000,right,L4_Product_4of4,,false
ANN_000163,23_1,validation,product_interaction,comparison,3839,3950,127.967,131.667,3.733,both,R3_Product_4of4,L4_Product_4of4,false
ANN_000164,23_2,validation,product_interaction,pickup,786,799,26.200,26.633,0.467,left,L2_Product_2of2,,
ANN_000165,23_2,validation,product_interaction,product_held,800,924,26.667,30.800,4.167,left,L2_Product_2of2,,true
ANN_000166,23_2,validation,product_interaction,return,914,924,30.467,30.800,0.367,left,L2_Product_2of2,,true
ANN_000167,23_2,validation,product_interaction,pickup,1212,1240,40.400,41.333,0.967,right,R3_Product_3of4,,
ANN_000168,23_2,validation,product_interaction,product_held,1241,1682,41.367,56.067,14.733,right,R3_Product_3of4,,true
ANN_000169,23_2,validation,product_interaction,return,1673,1682,55.767,56.067,0.333,right,R3_Product_3of4,,true
ANN_000170,23_2,validation,product_interaction,pickup,1700,1733,56.667,57.767,1.133,right,R3_Product_4of4,,
ANN_000171,23_2,validation,product_interaction,product_held,1734,2124,57.800,70.800,13.033,right,R3_Product_4of4,,true
ANN_000172,23_2,validation,product_interaction,return,2112,2124,70.400,70.800,0.433,right,R3_Product_4of4,,true
ANN_000173,23_2,validation,product_interaction,pickup,2149,2173,71.633,72.433,0.833,right,R3_Product_4of4,,
ANN_000174,23_2,validation,product_interaction,product_held,2174,2285,72.467,76.167,3.733,right,R3_Product_4of4,,true
ANN_000175,23_2,validation,product_interaction,return,2270,2285,75.667,76.167,0.533,right,R3_Product_4of4,,true
ANN_000176,23_2,validation,product_interaction,pickup,2609,2629,86.967,87.633,0.700,right,L3_Product_1of4,,
ANN_000177,23_2,validation,product_interaction,product_held,2630,2699,87.667,89.967,2.333,right,L3_Product_1of4,,true
ANN_000178,23_2,validation,product_interaction,return,2692,2699,89.733,89.967,0.267,right,L3_Product_1of4,,true
ANN_000179,23_2,validation,product_interaction,pickup,2938,2961,97.933,98.700,0.800,right,R2_Product_1of3,,
ANN_000180,23_2,validation,product_interaction,product_held,2962,3065,98.733,102.167,3.467,right,R2_Product_1of3,,true
ANN_000181,23_2,validation,product_interaction,return,3062,3065,102.067,102.167,0.133,right,R2_Product_1of3,,true
ANN_000182,23_2,validation,product_interaction,pickup,3387,3397,112.900,113.233,0.367,right,R4_Product_4of4,,
ANN_000183,23_2,validation,product_interaction,product_held,3398,3705,113.267,123.500,10.267,right,R4_Product_4of4,,true
ANN_000184,23_2,validation,product_interaction,return,3682,3705,122.733,123.500,0.800,right,R4_Product_4of4,,true
ANN_000185,23_2,validation,product_interaction,pickup,3730,3779,124.333,125.967,1.667,right,R4_Product_3of4,,
ANN_000186,23_2,validation,product_interaction,product_held,3780,4153,126.000,138.433,12.467,right,R4_Product_3of4,,true
ANN_000187,23_2,validation,product_interaction,return,4137,4153,137.900,138.433,0.567,right,R4_Product_3of4,,true
ANN_000188,23_2,validation,product_interaction,pickup,4390,4412,146.333,147.067,0.767,right,R5_Product_3of4,,
ANN_000189,23_2,validation,product_interaction,product_held,4413,4574,147.100,152.467,5.400,right,R5_Product_3of4,,true
ANN_000190,23_2,validation,product_interaction,return,4567,4574,152.233,152.467,0.267,right,R5_Product_3of4,,true
ANN_000191,23_2,validation,product_interaction,pickup,4812,4848,160.400,161.600,1.233,left,R3_Product_2of4,,
ANN_000192,23_2,validation,product_interaction,product_held,4849,5118,161.633,170.600,9.000,left,R3_Product_2of4,,true
ANN_000193,23_2,validation,product_interaction,return,5112,5118,170.400,170.600,0.233,left,R3_Product_2of4,,true
ANN_000194,23_3,validation,product_interaction,pickup,416,445,13.867,14.833,1.000,right,R3_Product_4of4,,
ANN_000195,23_3,validation,product_interaction,product_held,446,621,14.867,20.700,5.867,right,R3_Product_4of4,,true
ANN_000196,23_3,validation,product_interaction,return,611,621,20.367,20.700,0.367,right,R3_Product_4of4,,true
ANN_000197,23_3,validation,product_interaction,pickup,739,774,24.633,25.800,1.200,right,R3_Product_4of4,,
ANN_000198,23_3,validation,product_interaction,product_held,775,844,25.833,28.133,2.333,right,R3_Product_4of4,,true
ANN_000199,23_3,validation,product_interaction,return,836,844,27.867,28.133,0.300,right,R3_Product_4of4,,true
ANN_000200,23_3,validation,product_interaction,pickup,919,945,30.633,31.500,0.900,right,R3_Product_3of4,,
ANN_000201,23_3,validation,product_interaction,product_held,946,1036,31.533,34.533,3.033,right,R3_Product_3of4,,true
ANN_000202,23_3,validation,product_interaction,return,1027,1036,34.233,34.533,0.333,right,R3_Product_3of4,,true
ANN_000203,23_3,validation,product_interaction,pickup,1744,1761,58.133,58.700,0.600,right,R2_Product_2of2,,
ANN_000204,23_3,validation,product_interaction,product_held,1762,1913,58.733,63.767,5.067,right,R2_Product_2of2,,true
ANN_000205,23_3,validation,product_interaction,return,1900,1913,63.333,63.767,0.467,right,R2_Product_2of2,,true
ANN_000206,23_3,validation,product_interaction,pickup,2941,2965,98.033,98.833,0.833,right,R4_Product_3of4,,
ANN_000207,23_3,validation,product_interaction,product_held,2966,3105,98.867,103.500,4.667,right,R4_Product_3of4,,true
ANN_000208,23_3,validation,product_interaction,return,3075,3105,102.500,103.500,1.033,right,R4_Product_3of4,,true
ANN_000209,23_3,validation,product_interaction,pickup,4196,4222,139.867,140.733,0.900,right,R5_Product_3of4,,
ANN_000210,23_3,validation,product_interaction,product_held,4223,4393,140.767,146.433,5.700,right,R5_Product_3of4,,true
ANN_000211,23_3,validation,product_interaction,return,4388,4393,146.267,146.433,0.200,right,R5_Product_3of4,,true
ANN_000212,23_3,validation,product_interaction,pickup,4499,4526,149.967,150.867,0.933,right,R4_Product_2of4,,
ANN_000213,23_3,validation,product_interaction,product_held,4499,4756,149.967,158.533,8.600,right,R4_Product_2of4,,true
ANN_000214,23_3,validation,product_interaction,return,4746,4756,158.200,158.533,0.367,right,R4_Product_2of4,,true
ANN_000215,23_3,validation,product_interaction,pickup,4822,4843,160.733,161.433,0.733,right,R4_Product_1of4,,
ANN_000216,23_3,validation,product_interaction,product_held,4822,5056,160.733,168.533,7.833,right,R4_Product_1of4,,true
ANN_000217,23_3,validation,product_interaction,return,5045,5056,168.167,168.533,0.400,right,R4_Product_1of4,,true
ANN_000218,23_3,validation,product_interaction,pickup,5151,5190,171.700,173.000,1.333,right,R4_Product_2of4,,
ANN_000219,23_3,validation,product_interaction,product_held,5191,6001,173.033,200.033,27.033,right,R4_Product_2of4,,false
ANN_000220,23_3,validation,product_interaction,pickup,5673,5712,189.100,190.400,1.333,right,R4_Product_4of4,,
ANN_000221,23_3,validation,product_interaction,pickup,5713,6001,190.433,200.033,9.633,right,R4_Product_4of4,,false
ANN_000222,24_1,validation,product_interaction,pickup,643,657,21.433,21.900,0.500,left,R3_Product_2of4,,
ANN_000223,24_1,validation,product_interaction,product_held,658,1939,21.933,64.633,42.733,left,R3_Product_2of4,,false
ANN_000224,24_1,validation,product_interaction,pickup,1096,1121,36.533,37.367,0.867,right,R6_Product_3of3,,
ANN_000225,24_1,validation,product_interaction,product_held,1122,1552,37.400,51.733,14.367,right,R6_Product_3of3,,true
ANN_000226,24_1,validation,product_interaction,return,1526,1552,50.867,51.733,0.900,right,R6_Product_3of3,,true
ANN_000227,24_1,validation,product_interaction,pickup,1742,1845,58.067,61.500,3.467,right,R4_Product_1of4,,
ANN_000228,24_1,validation,product_interaction,product_held,1846,1939,61.533,64.633,3.133,right,R4_Product_1of4,,false
ANN_000229,24_1,validation,product_interaction,pickup,2623,2637,87.433,87.900,0.500,left,L7_Product_1of4,,
ANN_000230,24_1,validation,product_interaction,product_held,2638,2824,87.933,94.133,6.233,left,L7_Product_1of4,,true
ANN_000231,24_1,validation,product_interaction,return,2802,2824,93.400,94.133,0.767,left,L7_Product_1of4,,true
ANN_000232,24_1,validation,product_interaction,pickup,2826,2832,94.200,94.400,0.233,right,L7_Product_1of4,,
ANN_000233,24_1,validation,product_interaction,product_held,2833,3997,94.433,133.233,38.833,right,L7_Product_1of4,,false
ANN_000234,24_1,validation,product_interaction,pickup,3262,3305,108.733,110.167,1.467,right,L4_Product_4of4,,
ANN_000235,24_1,validation,product_interaction,product_held,3306,3342,110.200,111.400,1.233,right,L4_Product_4of4,,true
ANN_000236,24_1,validation,product_interaction,return,3334,3342,111.133,111.400,0.300,right,L4_Product_4of4,,true
ANN_000237,24_2,validation,product_interaction,pickup,224,253,7.467,8.433,1.000,right,R3_Product_2of4,,
ANN_000238,24_2,validation,product_interaction,product_held,254,426,8.467,14.200,5.767,right,R3_Product_2of4,,true
ANN_000239,24_2,validation,product_interaction,return,417,426,13.900,14.200,0.333,right,R3_Product_2of4,,true
ANN_000240,24_2,validation,product_interaction,pickup,928,965,30.933,32.167,1.267,right,R1_Product_2of4,,
ANN_000241,24_2,validation,product_interaction,product_held,966,1276,32.200,42.533,10.367,right,R1_Product_2of4,,true
ANN_000242,24_2,validation,product_interaction,return,1240,1276,41.333,42.533,1.233,right,R1_Product_2of4,,true
ANN_000243,24_2,validation,product_interaction,pickup,1364,1387,45.467,46.233,0.800,left,R3_Product_1of4,,
ANN_000244,24_2,validation,product_interaction,product_held,1388,1550,46.267,51.667,5.433,left,R3_Product_1of4,,true
ANN_000245,24_2,validation,product_interaction,return,1543,1550,51.433,51.667,0.267,left,R3_Product_1of4,,true
ANN_000246,24_2,validation,product_interaction,pickup,1814,1837,60.467,61.233,0.800,left,R6_Product_2of3,,
ANN_000247,24_2,validation,product_interaction,product_held,1838,2226,61.267,74.200,12.967,left,R6_Product_2of3,,true
ANN_000248,24_2,validation,product_interaction,return,2224,2226,74.133,74.200,0.100,left,R6_Product_2of3,,true
